week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2023-07-03,BEV-008,STR-015,131,67,117,81,False
2023-07-03,BEV-009,STR-015,92,64,76,80,False
2023-07-03,BEV-010,STR-015,111,96,93,114,False
2023-07-03,BEV-011,STR-015,199,110,190,119,False
2023-07-03,BEV-012,STR-015,144,93,87,150,False
2023-07-03,BEV-013,STR-015,246,128,203,171,False
2023-07-03,BEV-014,STR-015,168,101,108,161,False
2023-07-03,BEV-015,STR-015,75,66,75,66,False
2023-07-03,BEV-001,STR-016,220,176,178,218,False
2023-07-03,BEV-002,STR-016,967,459,641,785,False
2023-07-03,BEV-003,STR-016,242,323,271,294,False
2023-07-03,BEV-004,STR-016,88,40,70,58,False
2023-07-03,BEV-005,STR-016,116,90,90,116,False
2023-07-03,BEV-006,STR-016,134,135,125,144,False
2023-07-03,BEV-007,STR-016,89,76,86,79,False
2023-07-03,BEV-008,STR-016,187,93,109,171,False
2023-07-03,BEV-009,STR-016,191,79,115,155,False
2023-07-03,BEV-010,STR-016,98,93,81,110,False
2023-07-03,BEV-011,STR-016,160,69,99,130,False
2023-07-03,BEV-012,STR-016,48,41,35,54,False
2023-07-03,BEV-013,STR-016,75,70,80,65,False
2023-07-03,BEV-014,STR-016,128,83,95,116,False
2023-07-03,BEV-015,STR-016,84,47,75,56,False
2023-07-03,BEV-001,STR-017,272,132,199,205,False
2023-07-03,BEV-002,STR-017,90,109,107,92,False
2023-07-03,BEV-003,STR-017,220,105,137,188,False
2023-07-03,BEV-004,STR-017,166,122,103,185,False
2023-07-03,BEV-005,STR-017,107,109,129,87,False
2023-07-03,BEV-006,STR-017,118,78,71,125,False
2023-07-03,BEV-007,STR-017,163,100,123,140,False
2023-07-03,BEV-008,STR-017,120,95,100,115,False
2023-07-03,BEV-009,STR-017,101,94,80,115,False
2023-07-03,BEV-010,STR-017,162,104,109,157,False
2023-07-03,BEV-011,STR-017,171,114,104,181,False
2023-07-03,BEV-012,STR-017,98,88,88,98,False
2023-07-03,BEV-013,STR-017,168,53,101,120,False
2023-07-03,BEV-014,STR-017,415,236,231,420,False
2023-07-03,BEV-015,STR-017,91,96,102,85,False
2023-07-03,BEV-001,STR-018,422,335,340,417,False
2023-07-03,BEV-002,STR-018,334,417,395,356,False
2023-07-03,BEV-003,STR-018,265,136,226,175,False
2023-07-03,BEV-004,STR-018,389,300,285,404,False
2023-07-03,BEV-005,STR-018,107,135,122,120,False
2023-07-03,BEV-006,STR-018,201,220,194,227,False
2023-07-03,BEV-007,STR-018,481,275,335,421,False
2023-07-03,BEV-008,STR-018,358,174,211,321,False
2023-07-03,BEV-009,STR-018,235,96,175,156,False
2023-07-03,BEV-010,STR-018,343,136,192,287,False
2023-07-03,BEV-011,STR-018,268,147,180,235,False
2023-07-03,BEV-012,STR-018,316,193,176,333,False
2023-07-03,BEV-013,STR-018,481,316,351,446,False
2023-07-03,BEV-014,STR-018,234,253,214,273,False
2023-07-03,BEV-015,STR-018,184,154,172,166,False
2023-07-03,BEV-001,STR-019,546,189,354,381,False
2023-07-03,BEV-002,STR-019,412,360,318,454,False
2023-07-03,BEV-003,STR-019,558,322,349,531,False
2023-07-03,BEV-004,STR-019,323,210,225,308,False
2023-07-03,BEV-005,STR-019,253,160,167,246,False
2023-07-03,BEV-006,STR-019,254,201,178,277,False
2023-07-03,BEV-007,STR-019,255,185,230,210,False
2023-07-03,BEV-008,STR-019,343,126,224,245,False
2023-07-03,BEV-009,STR-019,307,123,199,231,False
2023-07-03,BEV-010,STR-019,681,583,512,752,False
2023-07-03,BEV-011,STR-019,265,270,251,284,False
2023-07-03,BEV-012,STR-019,282,179,176,285,False
2023-07-03,BEV-013,STR-019,203,260,222,241,False
2023-07-03,BEV-014,STR-019,956,580,576,960,False
2023-07-03,BEV-015,STR-019,337,203,191,349,False
2023-07-03,BEV-001,STR-020,291,93,183,201,False
2023-07-03,BEV-002,STR-020,219,169,175,213,False
2023-07-03,BEV-003,STR-020,240,187,174,253,False
2023-07-03,BEV-004,STR-020,114,83,126,71,False
2023-07-03,BEV-005,STR-020,430,164,251,343,False
2023-07-03,BEV-006,STR-020,290,120,170,240,False
2023-07-03,BEV-007,STR-020,88,109,94,103,False
2023-07-03,BEV-008,STR-020,137,60,106,91,False
2023-07-03,BEV-009,STR-020,90,79,97,72,False
2023-07-03,BEV-010,STR-020,157,118,102,173,False
2023-07-03,BEV-011,STR-020,172,68,112,128,False
2023-07-03,BEV-012,STR-020,75,70,84,61,False
2023-07-03,BEV-013,STR-020,248,74,142,180,False
2023-07-03,BEV-014,STR-020,99,93,80,112,False
2023-07-03,BEV-015,STR-020,68,74,76,66,False
2023-07-03,BEV-001,STR-021,163,69,92,140,False
2023-07-03,BEV-002,STR-021,86,50,87,49,False
2023-07-03,BEV-003,STR-021,105,80,84,101,False
2023-07-03,BEV-004,STR-021,78,28,56,50,False
2023-07-03,BEV-005,STR-021,52,29,50,31,False
2023-07-03,BEV-006,STR-021,35,42,41,36,False
2023-07-03,BEV-007,STR-021,51,56,51,56,False
2023-07-03,BEV-008,STR-021,40,48,43,45,False
2023-07-03,BEV-009,STR-021,319,157,179,297,False
2023-07-03,BEV-010,STR-021,44,54,49,49,False
2023-07-03,BEV-011,STR-021,165,69,104,130,False
2023-07-03,BEV-012,STR-021,45,25,47,23,False
2023-07-03,BEV-013,STR-021,71,55,54,72,False
2023-07-03,BEV-014,STR-021,69,37,44,62,False
2023-07-03,BEV-015,STR-021,218,66,125,159,False
2023-07-03,BEV-001,STR-022,261,135,157,239,False
2023-07-03,BEV-002,STR-022,276,85,157,204,False
2023-07-03,BEV-003,STR-022,162,132,135,159,False
2023-07-03,BEV-004,STR-022,155,50,91,114,False
2023-07-03,BEV-005,STR-022,271,217,314,174,False
2023-07-03,BEV-006,STR-022,95,51,71,75,False
2023-07-03,BEV-007,STR-022,95,58,72,81,False
2023-07-03,BEV-008,STR-022,77,85,86,76,False
2023-07-03,BEV-009,STR-022,139,99,96,142,False
2023-07-03,BEV-010,STR-022,107,86,106,87,False
2023-07-03,BEV-011,STR-022,148,106,130,124,False
2023-07-03,BEV-012,STR-022,104,93,117,80,False
2023-07-03,BEV-013,STR-022,113,58,97,74,False
2023-07-03,BEV-014,STR-022,86,108,100,94,False
2023-07-03,BEV-015,STR-022,295,205,192,308,False
2023-07-03,BEV-001,STR-023,206,133,149,190,False
2023-07-03,BEV-002,STR-023,130,105,141,94,False
2023-07-03,BEV-003,STR-023,248,177,160,265,False
2023-07-03,BEV-004,STR-023,146,76,83,139,False
2023-07-03,BEV-005,STR-023,151,71,110,112,False
2023-07-03,BEV-006,STR-023,134,75,131,78,False
2023-07-03,BEV-007,STR-023,114,101,98,117,False
2023-07-03,BEV-008,STR-023,173,117,108,182,False
2023-07-03,BEV-009,STR-023,184,105,114,175,False
2023-07-03,BEV-010,STR-023,76,105,92,89,False
2023-07-03,BEV-011,STR-023,111,65,104,72,False
2023-07-03,BEV-012,STR-023,110,73,100,83,False
2023-07-03,BEV-013,STR-023,418,238,306,350,False
2023-07-03,BEV-014,STR-023,235,98,152,181,False
2023-07-03,BEV-015,STR-023,114,75,100,89,False
2023-07-03,BEV-001,STR-024,260,148,165,243,False
2023-07-03,BEV-002,STR-024,333,324,348,309,False
2023-07-03,BEV-003,STR-024,191,172,179,184,False
2023-07-03,BEV-004,STR-024,177,98,143,132,False
2023-07-03,BEV-005,STR-024,77,68,85,60,False
2023-07-03,BEV-006,STR-024,172,98,117,153,False
2023-07-03,BEV-007,STR-024,87,80,104,63,False
2023-07-03,BEV-008,STR-024,116,102,144,74,False
2023-07-03,BEV-009,STR-024,78,57,84,51,False
2023-07-03,BEV-010,STR-024,67,84,83,68,False
2023-07-03,BEV-011,STR-024,103,87,88,102,False
2023-07-03,BEV-012,STR-024,94,61,58,97,False
2023-07-03,BEV-013,STR-024,153,215,188,180,False
2023-07-03,BEV-014,STR-024,116,76,85,107,False
2023-07-03,BEV-015,STR-024,125,59,103,81,False
2023-07-03,BEV-001,STR-025,778,931,801,908,False
2023-07-03,BEV-002,STR-025,615,311,413,513,False
2023-07-03,BEV-003,STR-025,323,287,357,253,False
2023-07-03,BEV-004,STR-025,155,196,177,174,False
2023-07-03,BEV-005,STR-025,167,171,164,174,False
2023-07-03,BEV-006,STR-025,690,597,527,760,False
2023-07-03,BEV-007,STR-025,224,157,147,234,False
2023-07-03,BEV-008,STR-025,282,164,273,173,False
2023-07-03,BEV-009,STR-025,346,254,247,353,False
2023-07-03,BEV-010,STR-025,176,188,181,183,False
2023-07-03,BEV-011,STR-025,203,135,131,207,False
2023-07-03,BEV-012,STR-025,437,227,254,410,False
2023-07-03,BEV-013,STR-025,277,215,195,297,False
2023-07-03,BEV-014,STR-025,237,136,250,123,False
2023-07-03,BEV-015,STR-025,149,94,136,107,False
2023-07-03,BEV-001,STR-026,175,73,139,109,False
2023-07-03,BEV-002,STR-026,81,71,75,77,False
2023-07-03,BEV-003,STR-026,67,69,76,60,False
2023-07-03,BEV-004,STR-026,62,52,45,69,False
2023-07-03,BEV-005,STR-026,47,63,56,54,False
2023-07-03,BEV-006,STR-026,38,36,39,35,False
2023-07-03,BEV-007,STR-026,86,39,49,76,False
2023-07-03,BEV-008,STR-026,83,60,51,92,False
2023-07-03,BEV-009,STR-026,138,164,165,137,False
2023-07-03,BEV-010,STR-026,75,52,57,70,False
2023-07-03,BEV-011,STR-026,66,30,39,57,False
2023-07-03,BEV-012,STR-026,51,18,35,34,False
2023-07-03,BEV-013,STR-026,71,46,63,54,False
2023-07-03,BEV-014,STR-026,62,35,53,44,False
2023-07-03,BEV-015,STR-026,75,39,43,71,False
2023-07-03,BEV-001,STR-027,173,190,197,166,False
2023-07-03,BEV-002,STR-027,169,146,153,162,False
2023-07-03,BEV-003,STR-027,171,184,185,170,False
2023-07-03,BEV-004,STR-027,219,110,152,177,False
2023-07-03,BEV-005,STR-027,498,290,339,449,False
2023-07-03,BEV-006,STR-027,331,219,338,212,False
2023-07-03,BEV-007,STR-027,122,62,95,89,False
2023-07-03,BEV-008,STR-027,412,143,251,304,False
2023-07-03,BEV-009,STR-027,184,126,113,197,False
2023-07-03,BEV-010,STR-027,533,296,318,511,False
2023-07-03,BEV-011,STR-027,77,50,81,46,False
2023-07-03,BEV-012,STR-027,162,129,114,177,False
2023-07-03,BEV-013,STR-027,102,91,121,72,False
2023-07-03,BEV-014,STR-027,115,60,65,110,False
2023-07-03,BEV-015,STR-027,120,50,76,94,False
2023-07-03,BEV-001,STR-028,314,186,178,322,False
2023-07-03,BEV-002,STR-028,282,276,284,274,False
2023-07-03,BEV-003,STR-028,425,356,343,438,False
2023-07-03,BEV-004,STR-028,338,206,260,284,False
2023-07-03,BEV-005,STR-028,202,187,203,186,False
2023-07-03,BEV-006,STR-028,225,221,265,181,False
2023-07-03,BEV-007,STR-028,251,144,145,250,False
2023-07-03,BEV-008,STR-028,122,73,132,63,False
2023-07-03,BEV-009,STR-028,247,170,198,219,False
2023-07-03,BEV-010,STR-028,191,244,215,220,False
2023-07-03,BEV-011,STR-028,335,229,199,365,False
2023-07-03,BEV-012,STR-028,139,89,117,111,False
2023-07-03,BEV-013,STR-028,172,128,196,104,False
2023-07-03,BEV-014,STR-028,133,148,148,133,False
2023-07-03,BEV-015,STR-028,214,119,227,106,False
2023-07-03,BEV-001,STR-029,409,348,322,435,False
2023-07-03,BEV-002,STR-029,309,227,244,292,False
2023-07-03,BEV-003,STR-029,220,175,269,126,False
2023-07-03,BEV-004,STR-029,215,165,236,144,False
2023-07-03,BEV-005,STR-029,167,156,197,126,False
2023-07-03,BEV-006,STR-029,299,137,238,198,False
2023-07-03,BEV-007,STR-029,224,82,161,145,False
2023-07-03,BEV-008,STR-029,229,132,220,141,False
2023-07-03,BEV-009,STR-029,253,119,179,193,False
2023-07-03,BEV-010,STR-029,246,94,168,172,False
2023-07-03,BEV-011,STR-029,170,170,196,144,False
2023-07-03,BEV-012,STR-029,284,141,159,266,False
2023-07-03,BEV-013,STR-029,226,168,178,216,False
2023-07-03,BEV-014,STR-029,160,77,152,85,False
2023-07-03,BEV-015,STR-029,319,282,279,322,False
2023-07-03,BEV-001,STR-030,237,153,151,239,False
2023-07-03,BEV-002,STR-030,108,113,129,92,False
2023-07-03,BEV-003,STR-030,152,163,156,159,False
2023-07-03,BEV-004,STR-030,146,92,98,140,False
2023-07-03,BEV-005,STR-030,82,100,96,86,False
2023-07-03,BEV-006,STR-030,122,59,112,69,False
2023-07-03,BEV-007,STR-030,96,132,115,113,False
2023-07-03,BEV-008,STR-030,159,78,89,148,False
2023-07-03,BEV-009,STR-030,136,55,88,103,False
2023-07-03,BEV-010,STR-030,148,103,94,157,False
2023-07-03,BEV-011,STR-030,49,40,54,35,False
2023-07-03,BEV-012,STR-030,108,78,70,116,False
2023-07-03,BEV-013,STR-030,225,107,127,205,False
2023-07-03,BEV-014,STR-030,229,114,133,210,False
2023-07-03,BEV-015,STR-030,145,52,95,102,False
2023-07-10,BEV-001,STR-001,270,147,167,250,False
2023-07-10,BEV-002,STR-001,139,153,159,133,False
2023-07-10,BEV-003,STR-001,339,193,242,290,False
2023-07-10,BEV-004,STR-001,140,64,122,82,False
2023-07-10,BEV-005,STR-001,111,116,97,130,False
2023-07-10,BEV-006,STR-001,144,94,81,157,False
2023-07-10,BEV-007,STR-001,118,108,102,124,False
2023-07-10,BEV-008,STR-001,182,62,104,140,False
2023-07-10,BEV-009,STR-001,134,44,85,93,False
2023-07-10,BEV-010,STR-001,208,208,179,237,False
2023-07-10,BEV-011,STR-001,386,303,261,428,False
2023-07-10,BEV-012,STR-001,121,70,78,113,False
2023-07-10,BEV-013,STR-001,160,127,134,153,False
2023-07-10,BEV-014,STR-001,107,119,118,108,False
2023-07-10,BEV-015,STR-001,118,89,100,107,False
2023-07-10,BEV-001,STR-002,205,157,194,168,False
2023-07-10,BEV-002,STR-002,165,173,152,186,False
2023-07-10,BEV-003,STR-002,114,136,124,126,False
2023-07-10,BEV-004,STR-002,220,105,130,195,False
2023-07-10,BEV-005,STR-002,406,276,277,405,False
2023-07-10,BEV-006,STR-002,86,56,79,63,False
2023-07-10,BEV-007,STR-002,144,95,96,143,False
2023-07-10,BEV-008,STR-002,95,53,82,66,False
2023-07-10,BEV-009,STR-002,114,47,72,89,False
2023-07-10,BEV-010,STR-002,138,107,119,126,False
2023-07-10,BEV-011,STR-002,246,81,138,189,False
2023-07-10,BEV-012,STR-002,62,56,72,46,False
2023-07-10,BEV-013,STR-002,141,87,111,117,False
2023-07-10,BEV-014,STR-002,119,51,87,83,False
2023-07-10,BEV-015,STR-002,78,74,90,62,False
2023-07-10,BEV-001,STR-003,61,71,66,66,False
2023-07-10,BEV-002,STR-003,86,64,62,88,False
2023-07-10,BEV-003,STR-003,179,96,136,139,False
2023-07-10,BEV-004,STR-003,72,27,42,57,False
2023-07-10,BEV-005,STR-003,69,37,53,53,False
2023-07-10,BEV-006,STR-003,212,131,148,195,False
2023-07-10,BEV-007,STR-003,168,67,119,116,False
2023-07-10,BEV-008,STR-003,57,37,41,53,False
2023-07-10,BEV-009,STR-003,62,49,44,67,False
2023-07-10,BEV-010,STR-003,99,30,58,71,False
2023-07-10,BEV-011,STR-003,48,64,55,57,False
2023-07-10,BEV-012,STR-003,42,25,40,27,False
2023-07-10,BEV-013,STR-003,72,26,51,47,False
2023-07-10,BEV-014,STR-003,78,55,58,75,False
2023-07-10,BEV-015,STR-003,34,35,33,36,False
2023-07-10,BEV-001,STR-004,417,327,333,411,False
